Application_ID,Applicant_ID,Business_Sector,Business_Location,Business_Age,Number_of_Employees,Annual_Revenue,Application_Date,Monthly_Income,Monthly_Expenses,Cash_Flow,Loan_Amount,Loan_Tenure,Existing_Debt,Collateral_Value,Debt_to_Income,DSCR,Credit_History,Previous_Default,Previous_Loan_Count,Previous_Late_Payment,Credit_Score,Application_Status,Rejection_Reason,Processing_Time,Default_Flag,Days_Past_Due,Repayment_Status
APP00081,SME00081,Manufacturing,Chattogram,5.1,21,2024614,2024-06-18,40632,17102,23530,820000,24,192839,614213,1.24,0.69,4.2,0,4,0,733,Rejected,Insufficient collateral,11.2,NA,NA,NA
APP00082,SME00082,Trading,Barishal,4.1,8,1170602,2024-01-20,24211,15873,8338,581000,48,338352,905540,1.66,0.69,3.3,0,2,1,559,Rejected,High debt-to-income,15,NA,NA,NA
APP00083,SME00083,Retail,Rajshahi,8.1,21,3690343,2025-07-24,62212,40673,21539,561000,24,98799,878697,0.51,0.92,7.8,0,5,2,671,Rejected,High debt-to-income,4.1,NA,NA,NA
APP00084,SME00084,Manufacturing,Sylhet,11.6,2,1068654,2024-08-21,22587,12722,9865,589000,48,180309,447221,1.21,0.8,10.7,0,5,0,705,Rejected,Insufficient collateral,3.7,NA,NA,NA
APP00085,SME00085,Services,Sylhet,4.7,11,597086,2025-08-24,7704,6115,1589,310000,24,117632,217363,2.95,0.3,3.3,0,2,1,584,Rejected,High debt-to-income,11.2,NA,NA,NA
APP00086,SME00086,Manufacturing,Chattogram,2.4,1,2428730,2024-07-28,34701,25884,8817,375000,60,32812,372044,0.26,1.41,2.3,0,0,1,697,Rejected,Insufficient collateral,4.2,NA,NA,NA
APP00087,SME00087,Trading,Dhaka,3.7,3,5678996,2025-09-19,93594,59323,34271,2118000,48,872253,2310132,1.25,0.78,2,0,1,1,626,Rejected,High debt-to-income,8.1,NA,NA,NA
APP00088,SME00088,Trading,Dhaka,0.8,5,2529551,2024-11-05,72652,44320,28332,1273000,24,193318,1763678,0.95,0.53,0.4,0,0,0,622,Rejected,High debt-to-income,18.8,NA,NA,NA
APP00089,SME00089,Trading,Khulna,0.5,13,1004781,2025-10-06,23534,11838,11696,498000,60,113078,347833,0.75,1.41,0.4,1,0,2,622,Rejected,Previous default record,17.7,NA,NA,NA
APP00090,SME00090,Retail,Sylhet,2.3,16,2028856,2024-05-13,41055,20181,20874,669000,60,103181,948157,0.48,1.87,1.6,0,1,0,651,Rejected,Incomplete documentation,6.2,NA,NA,NA
APP00091,SME00091,Manufacturing,Barishal,5.8,10,2075192,2026-03-02,46697,21511,25186,821000,24,85901,979167,0.89,0.74,3.5,0,1,0,655,Rejected,High debt-to-income,4.1,NA,NA,NA
APP00092,SME00092,Trading,Rajshahi,13.1,21,1855064,2024-05-01,44478,18254,26224,716000,36,871545,537625,2.08,1.32,10.9,0,3,1,693,Rejected,High debt-to-income,5,NA,NA,NA
APP00093,SME00093,Trading,Dhaka,8.3,33,2245552,2026-08-03,50145,39345,10800,372000,36,41149,551015,0.27,1.05,5.5,0,3,0,637,Rejected,Incomplete documentation,2.9,NA,NA,NA
APP00094,SME00094,Agriculture,Sylhet,5,6,1443195,2024-10-16,31852,23044,8808,475000,60,68522,699088,0.43,1.11,4.6,0,1,2,663,Approved,NA,6.1,0,0,Current
APP00095,SME00095,Agriculture,Khulna,3.4,30,6099299,2025-12-15,159116,121763,37353,2692000,60,242359,1865211,0.41,0.83,2,1,2,2,609,Rejected,Previous default record,7.2,NA,NA,NA
APP00096,SME00096,Services,Rajshahi,0.6,3,8842375,2024-10-31,152503,91432,61071,4758000,12,125986,5393591,2.67,0.3,0.5,0,0,0,619,Rejected,High debt-to-income,7.6,NA,NA,NA
APP00097,SME00097,Retail,Khulna,14.8,38,625526,2024-09-05,18244,9549,8695,141000,36,49831,146098,0.44,2.22,10.8,0,5,0,726,Approved,NA,11.4,0,0,Current
APP00098,SME00098,Manufacturing,Chattogram,2,16,4588788,2025-12-11,62690,39010,23680,874000,24,1062401,662214,1.99,0.65,1.8,0,0,1,673,Rejected,Insufficient collateral,4,NA,NA,NA
APP00099,SME00099,Services,Chattogram,4.2,3,2000528,2024-08-26,56711,37371,19340,931000,48,7065,762951,0.35,1,3.2,0,2,0,701,Rejected,Insufficient collateral,4.2,NA,NA,NA
APP00100,SME00100,Manufacturing,Rajshahi,1.3,9,839482,2026-02-21,23774,9992,13782,288000,48,44163,285345,0.41,2.3,0.9,1,0,3,482,Rejected,Previous default record,8,NA,NA,NA
APP00101,SME00101,Manufacturing,Khulna,1.4,38,1412688,2026-06-10,37592,25675,11917,753000,36,51302,755603,0.67,0.57,0.7,0,0,0,632,Rejected,High debt-to-income,2.3,NA,NA,NA
APP00102,SME00102,Trading,Chattogram,5,3,6334348,2025-01-21,169916,132856,37060,3165000,36,74050,4255729,0.55,0.42,4.6,0,2,1,680,Rejected,High debt-to-income,6,NA,NA,NA
APP00103,SME00103,Trading,Khulna,9.2,12,382932,2024-04-09,9663,7154,2509,187000,48,109491,129736,1.35,0.64,8.2,0,8,1,698,Rejected,Insufficient collateral,4.9,NA,NA,NA
APP00104,SME00104,Retail,Barishal,4.5,5,1699645,2024-10-25,36888,20729,16159,548000,24,467239,440797,1.67,0.71,3.9,1,0,1,571,Rejected,Previous default record,15.1,NA,NA,NA
APP00105,SME00105,Textiles,Barishal,4,2,4138289,2025-09-22,86091,53218,32873,2421000,12,507736,3124904,2.83,0.3,3.7,0,1,0,568,Rejected,High debt-to-income,6.9,NA,NA,NA
APP00106,SME00106,Textiles,Khulna,7,15,1113889,2024-11-12,22254,12095,10159,447000,12,36646,455927,1.81,0.3,3.7,0,2,0,610,Rejected,High debt-to-income,7.2,NA,NA,NA
APP00107,SME00107,Services,Chattogram,5.3,3,3309778,2025-09-28,71361,57990,13371,1660000,12,285724,2257379,2.27,0.3,4.4,0,1,1,620,Rejected,High debt-to-income,5.1,NA,NA,NA
APP00108,SME00108,Services,Sylhet,4.2,29,3800581,2025-03-24,86318,37727,48591,1157000,24,114272,1176841,0.67,1.01,2.3,0,0,0,616,Rejected,Incomplete documentation,4.2,NA,NA,NA
APP00109,SME00109,Manufacturing,Sylhet,2.1,2,2641480,2024-11-03,62402,41884,20518,445000,36,6452,418681,0.21,1.66,1.4,0,2,0,699,Rejected,Insufficient collateral,4.9,NA,NA,NA
APP00110,SME00110,Trading,Khulna,10.4,1,3244094,2025-09-08,73314,44408,28906,887000,60,35116,1155484,0.24,1.96,7.7,0,2,1,739,Approved,NA,7.8,0,0,Current
APP00111,SME00111,Manufacturing,Chattogram,7,12,2208429,2025-01-01,30361,17607,12754,389000,24,41976,298341,0.65,0.79,3.6,0,4,0,623,Rejected,Insufficient collateral,7.3,NA,NA,NA
APP00112,SME00112,Services,Sylhet,8.3,7,1458988,2025-09-16,23270,10436,12834,430000,12,234405,381013,2.38,0.36,4.5,0,3,0,721,Rejected,High debt-to-income,10.8,NA,NA,NA
APP00113,SME00113,Services,Dhaka,9.2,12,3207704,2024-08-23,91486,76259,15227,1490000,24,84685,1029341,0.76,0.3,7.6,0,2,0,679,Rejected,Insufficient collateral,7.6,NA,NA,NA
APP00114,SME00114,Retail,Rajshahi,7.1,17,2699750,2024-09-13,75197,44554,30643,742000,60,378973,736219,0.58,2.48,4,0,0,0,661,Approved,NA,14,0,0,Current
APP00115,SME00115,Manufacturing,Dhaka,1,7,1688325,2025-05-11,46418,27862,18556,870000,12,346342,1068776,2.18,0.3,0.8,0,0,1,580,Rejected,High debt-to-income,7.3,NA,NA,NA
APP00116,SME00116,Manufacturing,Rajshahi,6.7,12,1234472,2026-01-10,23113,14566,8547,526000,48,213449,705631,1.24,0.78,4.2,0,2,1,652,Rejected,High debt-to-income,4,NA,NA,NA
APP00117,SME00117,Trading,Sylhet,1.2,10,1211457,2025-10-20,17127,8259,8868,230000,48,118941,305013,0.86,1.85,1,0,0,0,632,Rejected,High debt-to-income,10.5,NA,NA,NA
APP00118,SME00118,Retail,Sylhet,9.5,6,2349307,2024-08-01,43716,24662,19054,892000,36,56204,1356924,0.67,0.77,6.7,0,4,1,729,Rejected,Incomplete documentation,6.1,NA,NA,NA
APP00119,SME00119,Manufacturing,Dhaka,2.6,3,838454,2026-04-04,13514,6430,7084,500000,12,63933,482631,3.48,0.3,1.9,0,3,0,638,Rejected,High debt-to-income,3.1,NA,NA,NA
APP00120,SME00120,Services,Dhaka,3,4,4164970,2026-06-04,114922,73145,41777,1892000,36,226164,2901097,0.62,0.79,1.6,1,0,2,528,Rejected,Previous default record,7.7,NA,NA,NA
APP00121,SME00121,Retail,Dhaka,13.8,7,2132069,2026-03-09,51235,24164,27071,833000,12,5876,995311,1.36,0.39,12.7,0,4,0,710,Rejected,High debt-to-income,4.7,NA,NA,NA
APP00122,SME00122,Retail,Sylhet,12,3,2294795,2025-04-10,53491,23286,30205,1038000,60,207786,1623638,0.65,1.75,9.9,0,4,0,708,Rejected,High debt-to-income,13.9,NA,NA,NA
APP00123,SME00123,Manufacturing,Khulna,7.4,5,2495531,2025-11-30,37935,29072,8863,596000,48,1039895,435228,2.61,0.71,7,1,4,5,561,Rejected,Previous default record,12.5,NA,NA,NA
APP00124,SME00124,Manufacturing,Sylhet,3.7,10,3284235,2024-05-16,48050,38208,9842,589000,12,70770,838137,1.14,0.3,3.1,0,1,0,557,Rejected,High debt-to-income,10.8,NA,NA,NA
APP00125,SME00125,Services,Rajshahi,3.5,4,1212883,2026-08-08,21139,11950,9189,383000,36,521204,524968,2.56,0.86,2.9,0,2,1,602,Rejected,High debt-to-income,2.2,NA,NA,NA
APP00126,SME00126,Retail,Rajshahi,5.8,11,1495904,2024-04-18,31847,17150,14697,883000,12,664857,1030550,4.05,0.3,4.8,0,2,0,571,Rejected,High debt-to-income,4.6,NA,NA,NA
APP00127,SME00127,Agriculture,Sylhet,3.6,6,706783,2025-05-26,11836,8384,3452,269000,24,64893,172799,1.4,0.31,2.1,0,0,1,592,Rejected,Insufficient collateral,17.1,NA,NA,NA
APP00128,SME00128,Textiles,Rajshahi,4.2,12,662379,2025-04-16,18879,8924,9955,195000,12,207473,270550,1.78,0.61,2.7,1,1,1,528,Rejected,Previous default record,7.8,NA,NA,NA
APP00129,SME00129,Trading,Dhaka,5.6,43,910424,2025-06-30,21651,10104,11547,250000,12,1331729,158644,6.09,0.55,4.2,1,2,3,499,Rejected,High debt-to-income,12.8,NA,NA,NA
APP00130,SME00130,Services,Chattogram,9.3,31,4252203,2024-11-18,75168,41725,33443,790000,24,323101,1203515,0.8,1.02,8.3,0,7,2,719,Approved,NA,4.3,0,0,Current
APP00131,SME00131,Agriculture,Barishal,6.6,5,1821741,2025-03-31,35107,19099,16008,364000,24,140482,464731,0.77,1.06,5.4,0,4,0,597,Rejected,Incomplete documentation,15.8,NA,NA,NA
APP00132,SME00132,Manufacturing,Khulna,3.7,15,1764105,2026-08-05,32955,20236,12719,401000,36,215247,297993,0.88,1.14,2.4,0,2,0,690,Rejected,Insufficient collateral,6.5,NA,NA,NA
